0	2401	{}
0	7457	{}
0	3424	{}
1	3571	{}
1	3087	{}
1	9567	{}
1	8716	{}
1	3651	{}
1	7298	{}
2	2063	{}
2	1031	{}
2	8953	{}
2	5921	{}
2	6018	{}
2	2060	{}
3	8151	{}
3	9462	{}
3	7910	{}
3	6188	{}
3	6279	{}
4	6697	{}
4	2249	{}
4	8566	{}
5	2348	{}
5	4232	{}
5	5685	{}
6	2654	{}
6	7311	{}
6	6363	{}
6	8566	{}
7	5796	{}
7	4137	{}
7	7262	{}
8	2666	{}
8	8932	{}
8	6678	{}
8	9392	{}
8	6880	{}
9	4622	{}
9	9076	{}
9	8514	{}
9	5939	{}
10	8755	{}
10	8999	{}
10	4066	{}
10	6438	{}
10	3891	{}
10	9380	{}
10	2103	{}
10	5572	{}
11	2725	{}
11	2555	{}
11	9242	{}
11	9251	{}
11	6000	{}
12	4261	{}
12	859	{}
13	922	{}
13	6015	{}
13	4735	{}
13	9874	{}
13	7365	{}
14	7765	{}
14	3391	{}
14	6744	{}
14	6230	{}
14	2483	{}
14	2005	{}
15	650	{}
15	4720	{}
15	9273	{}
15	6747	{}
15	7399	{}
15	6911	{}
15	9402	{}
16	3109	{}
16	9694	{}
16	1315	{}
16	628	{}
17	2116	{}
17	9888	{}
17	1926	{}
18	4651	{}
18	2187	{}
18	4666	{}
18	6235	{}
19	411	{}
19	1017	{}
19	7554	{}
19	1536	{}
19	4914	{}
19	4985	{}
19	9818	{}
20	6578	{}
20	8615	{}
20	3653	{}
20	7769	{}
20	9826	{}
20	621	{}
21	6934	{}
21	6578	{}
21	28	{}
21	4650	{}
21	720	{}
21	7013	{}
22	3645	{}
22	2623	{}
22	8273	{}
22	680	{}
22	2244	{}
22	3709	{}
22	3601	{}
22	3160	{}
22	3624	{}
23	534	{}
23	4789	{}
23	1765	{}
23	9132	{}
23	2984	{}
23	8061	{}
23	5815	{}
23	4159	{}
23	2322	{}
23	3498	{}
24	6034	{}
24	9011	{}
24	8563	{}
24	9956	{}
24	714	{}
24	678	{}
24	7874	{}
24	222	{}
24	5614	{}
24	8622	{}
24	6272	{}
24	5133	{}
24	6995	{}
24	5948	{}
24	5213	{}
24	1281	{}
24	8446	{}
24	1494	{}
24	9948	{}
25	998	{}
25	1531	{}
25	4215	{}
25	221	{}
26	7864	{}
26	351	{}
26	2080	{}
27	551	{}
27	8762	{}
27	8121	{}
28	7223	{}
28	7470	{}
28	8035	{}
29	1541	{}
29	5789	{}
29	9376	{}
30	9648	{}
30	1838	{}
30	2321	{}
30	4913	{}
30	5709	{}
31	6147	{}
31	37	{}
31	3078	{}
32	4972	{}
32	5442	{}
32	8649	{}
33	6236	{}
33	5153	{}
33	2127	{}
33	4781	{}
33	7510	{}
33	8696	{}
34	4408	{}
34	5205	{}
35	6638	{}
35	5527	{}
35	7210	{}
35	45	{}
36	729	{}
36	7578	{}
36	7409	{}
37	8716	{}
37	3149	{}
37	9474	{}
37	6408	{}
